['BV', 67, 'CV', 157, 'cluster', 'vdir', 'V0', 'V3', 0.03743432574430827, 0.21458649635314941]
['BV', 57, 'CV', 79, 'svn', 'fold', 'V2', 'V2', 0.21839501648955661, 0.3407456874847412]
['CV', 212, 'UV', 40, 'split', 'diff3', 'V0', 'V3', 0.08102893890675245, 0.03209280967712402]
['CV', 49, 'UV', 9, 'tsort', 'readelf', 'V2', 'V2', 0.09876243630186843, 0.09866833686828613]
['BV', 72, 'CV', 341, 'perl', 'uniq', 'V1', 'V1', 0.09206232936005865, 2.070669174194336]
['BV', 61, 'CV', 340, 'cmp', 'fold', 'V0', 'V1', 0.05025773195876293, 0.013266801834106445]
['CV', 28, 'UV', 17, 'chown', 'addr2line', 'V2', 'V2', 0.13434629581938362, 0.9812064170837402]
['BV', 9, 'UV', 81, 'dot', 'ld', 'V2', 'V0', 0.1427908210638016, 1.2386603355407715]
['CV', 168, 'BV', 76, 'sleep', 'diff', 'V3', 'V2', 0.12601196761703626, 0.1454465389251709]
['CV', 168, 'BV', 29, 'sleep', 'perl', 'V3', 'V3', 0.10323061101457498, 2.3359909057617188]
['CV', 226, 'UV', 2, 'logname', 'find', 'V0', 'V2', 0.16500000000000004, 0.13447904586791992]
['UV', 5, 'CV', 264, 'diff', 'test', 'V2', 'V1', 0.13988868274582567, 0.07538580894470215]
['UV', 1, 'CV', 252, 'xargs', 'rm', 'V2', 'V0', 0.07163886162904809, 0.052761077880859375]
