['CO', 191, 'UO', 5, 'id', 'readelf', 'O1', 'O1', 0.1110449538553141, 0.30025577545166016]
['UO', 20, 'CO', 208, 'diff', 'sha384sum', 'O1', 'O2', 0.13131660364386388, 0.10970664024353027]
['CO', 115, 'BO', 39, 'groups', 'codeblocks', 'O1', 'O3', 0.18504826453070444, 10.472306728363037]
['CO', 413, 'BO', 13, 'rmdir', 'ruby', 'O0', 'O1', 0.10353392968714281, 12.965729475021362]
['UO', 39, 'CO', 28, 'size', 'factor', 'O2', 'O3', 0.13681462140992173, 0.9416821002960205]
['BO', 81, 'CO', 78, 'sort', 'chcon', 'O3', 'O3', 0.07378524295140976, 0.10824942588806152]
['CO', 187, 'UO', 50, 'csplit', 'strings', 'O1', 'O3', 0.12652987760979117, 0.8547933101654053]
['BO', 66, 'UO', 48, 'svn', 'ranlib', 'O2', 'O3', 0.0521829142056871, 2.3120555877685547]
['CO', 356, 'UO', 41, 'seq', 'locate', 'O0', 'O2', 0.11041939711664484, 0.1363844871520996]
['UO', 68, 'CO', 99, 'readelf', 'sort', 'O0', 'O3', 0.08950265755504938, 0.7450008392333984]
['BO', 69, 'CO', 203, 'cmp', 'sort', 'O3', 'O1', 0.125673249551167, 0.10826849937438965]
['CO', 372, 'BO', 13, 'base64', 'ruby', 'O0', 'O1', 0.10307114281802832, 12.963658332824707]
['BO', 20, 'CO', 166, 'sort', 'printf', 'O1', 'O1', 0.11903908210828251, 0.11295557022094727]
['CO', 265, 'BO', 53, 'od', 'bash', 'O2', 'O0', 0.12312418346809784, 3.7477760314941406]
['CO', 276, 'UO', 20, 'yes', 'diff', 'O2', 'O1', 0.15429616087751374, 0.09594321250915527]
['BO', 76, 'CO', 39, 'openssl', 'paste', 'O2', 'O3', 0.2790100196968399, 7.216122388839722]
['CO', 142, 'BO', 37, 'sha1sum', 'gvmap', 'O1', 'O2', 0.11725105189340812, 0.13649725914001465]
['BO', 17, 'CO', 284, 'codeblocks', 'md5sum', 'O2', 'O2', 0.18777167547307316, 10.368881464004517]
['CO', 330, 'BO', 56, 'uptime', 'libvlc.so.12.0.0', 'O0', 'O3', 0.1825525040387722, 0.4986848831176758]
['CO', 173, 'UO', 38, 'who', 'elfedit', 'O1', 'O2', 0.06144890038809836, 0.04110360145568848]
['UO', 27, 'CO', 55, 'strip', 'cp', 'O2', 'O3', 0.1100338983050847, 1.4759445190429688]
['BO', 2, 'CO', 348, 'perl', 'pinky', 'O1', 'O0', 0.07405754489131577, 2.516111373901367]
