['CO', 199, 'UO', 44, 'sha224sum', 'nm', 'O1', 'O3', 0.13328530259366, 0.9113795757293701]
['CO', 274, 'BO', 80, 'runcon', 'ssh', 'O2', 'O3', 0.14370332217357706, 1.2832720279693604]
['BO', 79, 'CO', 143, 'bash', 'paste', 'O3', 'O1', 0.11348859203215511, 2.533062696456909]
['CO', 180, 'UO', 15, 'md5sum', 'elfedit', 'O1', 'O1', 0.04279891304347827, 0.04148721694946289]
['UO', 2, 'CO', 372, 'find', 'base64', 'O1', 'O0', 0.14583672804301773, 0.44259166717529297]
['CO', 298, 'BO', 55, 'tr', 'make', 'O2', 'O1', 0.12959418070444106, 0.23219656944274902]
['UO', 52, 'CO', 137, 'ld', 'chown', 'O3', 'O1', 0.1217628614562769, 1.8991191387176514]
['BO', 1, 'CO', 380, 'ssh', 'yes', 'O2', 'O0', 0.14399696048632216, 1.456071138381958]
['UO', 18, 'CO', 358, 'diff3', 'whoami', 'O1', 'O0', 0.06799037304452471, 0.05323052406311035]
['UO', 10, 'BO', 18, 'objcopy', 'libvlc.so.12.0.0', 'O1', 'O1', 0.06819727891156457, 2.971794366836548]
['CO', 87, 'BO', 25, 'id', 'dot', 'O3', 'O3', 0.16632860040567954, 0.01731252670288086]
['UO', 64, 'CO', 129, 'diff', 'chgrp', 'O3', 'O1', 0.0662020905923345, 0.14125943183898926]
['BO', 13, 'CO', 205, 'ruby', 'rmdir', 'O1', 'O1', 0.10412726496247937, 13.396975755691528]
['UO', 72, 'CO', 61, 'strings', 'cksum', 'O0', 'O3', 0.15403307058614357, 2.239302635192871]
