['CO', 91, 'BO', 10, 'comm', 'openssl', 'O3', 'O3', 0.2765766535634935, 7.385786294937134]
['BO', 70, 'UO', 52, 'diff', 'ld', 'O3', 'O3', 0.1087075575027382, 2.1336348056793213]
['BO', 77, 'UO', 0, 'libSDL2-2.0.so.0.16.0', 'locate', 'O3', 'O1', 0.16276600263347918, 6.0979390144348145]
['BO', 1, 'CO', 48, 'ssh', 'ls', 'O2', 'O3', 0.11821862348178136, 1.8151326179504395]
['UO', 0, 'CO', 109, 'locate', 'basename', 'O1', 'O1', 0.1415159944367177, 0.11609745025634766]
['UO', 36, 'CO', 334, 'addr2line', 'pwd', 'O2', 'O0', 0.13749442710655368, 0.9611246585845947]
['CO', 54, 'BO', 41, 'true', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.21044569621504094, 5.018243312835693]
['BO', 56, 'CO', 261, 'libvlc.so.12.0.0', 'chmod', 'O3', 'O2', 0.18528368794326244, 0.472304105758667]
['CO', 359, 'UO', 1, 'numfmt', 'xargs', 'O0', 'O1', 0.050996015936255024, 0.20232248306274414]
['BO', 25, 'CO', 200, 'dot', 'fold', 'O3', 'O1', 0.18685121107266434, 0.017917156219482422]
['CO', 74, 'BO', 79, 'unexpand', 'bash', 'O3', 'O3', 0.11360333110735754, 2.453718423843384]
['CO', 123, 'BO', 43, 'dd', 'diff', 'O1', 'O1', 0.07741007194244609, 0.159714937210083]
['UO', 41, 'CO', 381, 'locate', 'who', 'O2', 'O0', 0.09713926438226972, 0.14811325073242188]
['CO', 199, 'BO', 26, 'sha224sum', 'gvmap', 'O1', 'O3', 0.11151481274455, 0.13071799278259277]
['UO', 42, 'CO', 27, 'xargs', 'wc', 'O2', 'O3', 0.08226102941176472, 0.07686018943786621]
['UO', 13, 'CO', 5, 'addr2line', 'basename', 'O1', 'O3', 0.15228161668839635, 1.0063600540161133]
['CO', 401, 'BO', 73, 'pathchk', 'cluster', 'O0', 'O1', 0.11864406779661019, 0.13451504707336426]
['BO', 82, 'CO', 397, 'cp', '[', 'O3', 'O0', 0.07542087542087539, 0.11052989959716797]
['CO', 222, 'BO', 66, 'stty', 'svn', 'O2', 'O2', 0.21176285083569857, 0.49549198150634766]
['CO', 128, 'UO', 49, 'tee', 'c++filt', 'O1', 'O3', 0.13456169737576773, 0.8027663230895996]
['UO', 41, 'CO', 267, 'locate', 'tsort', 'O2', 'O2', 0.13871196036801137, 0.11148548126220703]
['UO', 3, 'CO', 353, 'nm', 'echo', 'O1', 'O0', 0.1482779249636783, 1.064974308013916]
['BO', 55, 'CO', 45, 'make', 'split', 'O1', 'O3', 0.10869180385909005, 0.25327157974243164]
