['CO', 148, 'BO', 25, 'seq', 'dot', 'O1', 'O3', 0.18343815513626838, 0.019298553466796875]
['UO', 43, 'CO', 161, 'find', 'od', 'O2', 'O1', 0.14024991779020057, 0.4044525623321533]
['UO', 46, 'CO', 18, 'readelf', 'uptime', 'O3', 'O3', 0.09641791044776116, 0.24566388130187988]
['BO', 75, 'UO', 67, 'gvmap', 'strip', 'O1', 'O0', 0.1159290047180409, 3.5607473850250244]
['CO', 143, 'BO', 75, 'paste', 'gvmap', 'O1', 'O1', 0.12577552171460804, 0.13043928146362305]
['BO', 0, 'UO', 80, 'codeblocks', 'objdump', 'O1', 'O0', 0.0598843744981532, 28.41687560081482]
['UO', 6, 'CO', 363, 'as', 'realpath', 'O1', 'O0', 0.12502720348204566, 2.1013004779815674]
['UO', 0, 'CO', 301, 'locate', 'nl', 'O1', 'O2', 0.14280786478095897, 0.11770272254943848]
['UO', 87, 'BO', 1, 'find', 'ssh', 'O0', 'O2', 0.052823149369852995, 3.506723403930664]
['UO', 38, 'CO', 293, 'elfedit', '[', 'O2', 'O2', 0.04405594405594404, 0.033269643783569336]
['CO', 8, 'UO', 60, 'dir', 'xargs', 'O3', 'O3', 0.04698375870069604, 0.15969014167785645]
['CO', 405, 'UO', 1, 'nl', 'xargs', 'O0', 'O1', 0.07811080835604, 0.09143829345703125]
['BO', 72, 'CO', 0, 'make', 'sha384sum', 'O2', 'O3', 0.12291515591007973, 0.22200369834899902]
['CO', 171, 'BO', 10, 'nohup', 'openssl', 'O1', 'O3', 0.2773459308567747, 7.546316385269165]
['BO', 11, 'CO', 65, 'ssh', 'false', 'O1', 'O3', 0.14993008770814797, 1.3625502586364746]
['CO', 170, 'BO', 1, 'runcon', 'ssh', 'O1', 'O2', 0.14716379859783302, 1.366290807723999]
['CO', 230, 'UO', 72, 'pwd', 'strings', 'O2', 'O0', 0.15309155766944116, 2.110041618347168]
['UO', 80, 'BO', 21, 'objdump', 'cp', 'O0', 'O1', 0.12530555451092473, 4.6553425788879395]
['UO', 46, 'BO', 52, 'readelf', 'svn', 'O3', 'O3', 0.0658854166666667, 1.0574471950531006]
['UO', 78, 'CO', 30, 'elfedit', 'expand', 'O0', 'O3', 0.06402640264026405, 0.03467130661010742]
['UO', 61, 'CO', 145, 'find', 'echo', 'O3', 'O1', 0.15294548115623852, 0.28206753730773926]
['UO', 45, 'CO', 89, 'strip', 'pathchk', 'O3', 'O3', 0.13063988434908314, 0.9431149959564209]
['UO', 47, 'CO', 387, 'as', 'mv', 'O3', 'O0', 0.08254308147241762, 2.2791435718536377]
['BO', 31, 'CO', 408, 'bash', 'fold', 'O2', 'O0', 0.12189136125654454, 2.730670690536499]
['UO', 19, 'BO', 6, 'cmp', 'codeblocks', 'O1', 'O0', 0.20557975716007038, 28.089937210083008]
['UO', 8, 'CO', 329, 'c++filt', 'stdbuf', 'O1', 'O0', 0.14169830859509835, 1.083129644393921]
['UO', 35, 'CO', 119, 'gprof', 'join', 'O2', 'O1', 0.13422874093605808, 1.002155065536499]
['CO', 186, 'UO', 21, 'shuf', 'sdiff', 'O1', 'O1', 0.042718446601941795, 0.06869268417358398]
['BO', 38, 'CO', 355, 'acyclic', 'chroot', 'O2', 'O0', 0.2091152815013405, 0.028635263442993164]
