['BO', 33, 'CO', 119, 'sort', 'join', 'O2', 'O1', 0.3840028954035468, 0.13480114936828613]
['UO', 13, 'CO', 340, 'addr2line', 'factor', 'O1', 'O0', 0.7682452156989945, 1.7160859107971191]
['BO', 36, 'CO', 219, 'cluster', 'groups', 'O2', 'O2', 0.6589147286821705, 0.14719796180725098]
['CO', 50, 'BO', 39, 'dircolors', 'codeblocks', 'O3', 'O3', 0.9623511333077218, 17.645551443099976]
['BO', 9, 'UO', 53, 'git', 'gprof', 'O0', 'O3', 0.641400651465798, 14.468682765960693]
['UO', 86, 'BO', 64, 'xargs', 'dot', 'O0', 'O0', 0.7597855227882038, 0.08511972427368164]
['UO', 45, 'CO', 181, 'strip', 'env', 'O3', 'O1', 0.907165251969106, 1.3676543235778809]
['UO', 9, 'CO', 177, 'strings', 'hostid', 'O1', 'O1', 0.9040182488155817, 1.3583729267120361]
['CO', 123, 'BO', 16, 'dd', 'make', 'O1', 'O0', 0.6197538655727359, 0.44913458824157715]
['BO', 77, 'CO', 20, 'libSDL2-2.0.so.0.16.0', 'mkfifo', 'O3', 'O3', 0.9432727938149046, 6.712476968765259]
['BO', 21, 'CO', 247, 'cp', 'paste', 'O1', 'O2', 0.5837245696400626, 0.1118173599243164]
['UO', 39, 'CO', 224, 'size', 'dirname', 'O2', 'O2', 0.9160186625194401, 1.2047662734985352]
['UO', 40, 'CO', 300, 'objdump', 'sha512sum', 'O2', 'O2', 0.9257925908721403, 2.3815488815307617]
['BO', 15, 'CO', 290, 'diff', 'shuf', 'O0', 'O2', 0.4861725663716814, 0.22342419624328613]
