['CO', 290, 'UO', 52, 'shuf', 'ld', 'O2', 'O3', 0.8899190928955294, 2.5674495697021484]
['UO', 49, 'BO', 68, 'c++filt', 'git', 'O3', 'O3', 0.6673339399454049, 27.785444498062134]
['CO', 49, 'BO', 68, 'nice', 'git', 'O3', 'O3', 0.9761951449076435, 9.139726877212524]
['CO', 146, 'UO', 63, 'sum', 'cmp', 'O1', 'O3', 0.10572390572390566, 0.04686737060546875]
['CO', 119, 'UO', 43, 'join', 'find', 'O1', 'O2', 0.7134660816739791, 0.5671100616455078]
['UO', 87, 'CO', 304, 'find', 'fold', 'O0', 'O2', 0.8525258011950028, 0.7471015453338623]
['CO', 226, 'UO', 6, 'uptime', 'as', 'O2', 'O1', 0.9198588987488288, 2.909883975982666]
['BO', 50, 'CO', 294, 'perl', 'timeout', 'O2', 'O2', 0.9570635039783816, 3.2314910888671875]
['UO', 19, 'CO', 77, 'cmp', 'env', 'O1', 'O3', 0.16325088339222615, 0.03708076477050781]
['UO', 86, 'CO', 63, 'xargs', 'logname', 'O0', 'O3', 0.4905320108205591, 0.10374927520751953]
['CO', 69, 'BO', 14, 'who', 'cmp', 'O3', 'O0', 0.1298405466970387, 0.05843806266784668]
['CO', 135, 'UO', 57, 'date', 'size', 'O1', 'O3', 0.8032642258491398, 1.4246795177459717]
['UO', 28, 'CO', 129, 'readelf', 'chgrp', 'O2', 'O1', 0.6573163678426837, 0.3899800777435303]
['UO', 15, 'CO', 151, 'elfedit', 'numfmt', 'O1', 'O1', 0.13627878033602991, 0.05049276351928711]
['CO', 147, 'UO', 40, 'chroot', 'objdump', 'O1', 'O2', 0.9140120036934442, 2.6983039379119873]
['BO', 55, 'CO', 65, 'make', 'false', 'O1', 'O3', 0.7863582908663269, 0.2560904026031494]
['CO', 316, 'UO', 56, 'test', 'elfedit', 'O0', 'O3', 0.18789407313997475, 0.05607771873474121]
['CO', 46, 'UO', 60, 'whoami', 'xargs', 'O3', 'O3', 0.4045239347711731, 0.0732874870300293]
['UO', 61, 'CO', 119, 'find', 'join', 'O3', 'O1', 0.7063711911357341, 0.4122462272644043]
