['CV', 118, 'UV', 34, 'sha1sum', 'elfedit', 'V3', 'V3', 0.9755671902268761, 0.09224772453308105]
['UV', 41, 'CV', 329, 'cmp', 'cat', 'V3', 'V1', 0.9588100686498856, 0.04118847846984863]
['CV', 50, 'UV', 1, 'cksum', 'xargs', 'V2', 'V2', 0.9043478260869565, 0.08856320381164551]
['BV', 16, 'CV', 296, 'libvlc.so', 'sum', 'V3', 'V1', 0.9951171875, 0.3501415252685547]
['UV', 76, 'CV', 288, 'as', 'expr', 'V0', 'V1', 0.9964883846569422, 2.5454764366149902]
['UV', 21, 'CV', 336, 'objdump', 'tr', 'V2', 'V1', 0.9984481688392303, 1.113828182220459]
['CV', 262, 'BV', 29, 'stat', 'perl', 'V1', 'V3', 0.9914094813872096, 1.9709527492523193]
['CV', 148, 'UV', 41, 'ginstall', 'cmp', 'V3', 'V3', 0.9868421052631579, 0.21712446212768555]
['BV', 76, 'CV', 112, 'diff', 'expand', 'V2', 'V3', 0.9695431472081218, 0.19960546493530273]
['CV', 24, 'BV', 52, 'factor', 'libSDL2-2.0.so', 'V2', 'V2', 0.9792880258899677, 1.6408023834228516]
['BV', 17, 'CV', 317, 'codeblocks', 'yes', 'V2', 'V1', 0.9994910293930526, 1.864577293395996]
['CV', 325, 'UV', 11, 'md5sum', 'ranlib', 'V1', 'V2', 0.9780799675258778, 0.826409101486206]
['UV', 43, 'BV', 41, 'sdiff', 'libvlccore.so', 'V3', 'V1', 0.9876698540513337, 2.9896280765533447]
['CV', 325, 'BV', 41, 'md5sum', 'libvlccore.so', 'V1', 'V1', 0.992496765847348, 1.4818181991577148]
['CV', 142, 'UV', 66, 'nohup', 'diff3', 'V3', 'V0', 0.8738461538461538, 0.0854344367980957]
['UV', 58, 'CV', 78, 'objcopy', 'rm', 'V1', 'V2', 0.9949423107317844, 1.9159026145935059]
['UV', 29, 'CV', 33, 'objcopy', 'sync', 'V3', 'V2', 0.9974847287100251, 0.7443029880523682]
['CV', 334, 'UV', 53, 'shred', 'readelf', 'V1', 'V1', 0.9648682559598495, 0.37943363189697266]
['BV', 68, 'CV', 238, 'dot', 'md5sum', 'V0', 'V0', 0.9921875, 0.024822235107421875]
['BV', 25, 'CV', 55, 'git', 'nohup', 'V3', 'V2', 0.9990467760604617, 4.649162530899048]
['UV', 6, 'CV', 2, 'sdiff', 'unlink', 'V2', 'V2', 0.9584775086505191, 0.06092119216918945]
['UV', 43, 'CV', 222, 'sdiff', 'df', 'V3', 'V0', 0.9246987951807228, 0.09410929679870605]
