['UO', 72, 'CO', 122, 'strings', 'uptime', 'O0', 'O1', 0.9938019439357656, 2.0275752544403076]
['CO', 208, 'UO', 64, 'sha384sum', 'diff', 'O2', 'O3', 0.9153713298791019, 0.19301581382751465]
['BO', 28, 'UO', 66, 'ruby', 'nm', 'O0', 'O0', 0.9958541776070313, 159.19892263412476]
['BO', 76, 'CO', 74, 'openssl', 'unexpand', 'O2', 'O3', 0.9975728155339806, 2.493302583694458]
['UO', 13, 'CO', 217, 'addr2line', 'du', 'O1', 'O2', 0.9851258581235698, 2.576047897338867]
['CO', 11, 'UO', 86, 'groups', 'xargs', 'O3', 'O0', 0.9677790563866513, 0.19090700149536133]
['CO', 254, 'BO', 82, 'whoami', 'cp', 'O2', 'O3', 0.9163346613545816, 0.12999200820922852]
['BO', 75, 'CO', 58, 'gvmap', 'df', 'O1', 'O3', 0.9439461883408071, 0.6188373565673828]
['CO', 415, 'BO', 73, 'ln', 'cluster', 'O0', 'O1', 0.9419953596287703, 0.6736104488372803]
['CO', 161, 'UO', 5, 'od', 'readelf', 'O1', 'O1', 0.957909029192125, 0.8535299301147461]
['UO', 3, 'CO', 17, 'nm', 'stdbuf', 'O1', 'O3', 0.9943227899432279, 1.1561222076416016]
['CO', 294, 'UO', 84, 'timeout', 'sdiff', 'O2', 'O0', 0.9074333800841514, 0.12043642997741699]
['CO', 305, 'UO', 58, 'uniq', 'objdump', 'O2', 'O3', 0.9820471596998929, 1.7171192169189453]
['CO', 94, 'BO', 65, 'rm', 'gvmap', 'O3', 'O0', 0.9662671992898357, 0.7729082107543945]
['UO', 6, 'CO', 165, 'as', 'cksum', 'O1', 'O1', 0.996620743436444, 1.4068284034729004]
['BO', 47, 'CO', 362, 'libvlc.so.12.0.0', 'dircolors', 'O0', 'O0', 0.9929109437306158, 0.6807527542114258]
['CO', 414, 'BO', 4, 'mknod', 'libgeany.so.0.0.0', 'O0', 'O2', 0.9855797967722654, 17.328603744506836]
['CO', 9, 'UO', 29, 'du', 'as', 'O3', 'O2', 0.9640838879819164, 4.248838663101196]
['CO', 84, 'UO', 63, 'vdir', 'cmp', 'O3', 'O3', 0.9895196506550218, 0.19736742973327637]
['BO', 6, 'CO', 382, 'codeblocks', 'b2sum', 'O0', 'O0', 0.9996361486332833, 8.00590705871582]
['CO', 304, 'UO', 62, 'fold', 'diff3', 'O2', 'O3', 0.9244663382594417, 0.07704687118530273]
['UO', 36, 'BO', 7, 'addr2line', 'sort', 'O2', 'O0', 0.9804175133936819, 3.761960983276367]
['CO', 247, 'UO', 55, 'paste', 'ar', 'O2', 'O3', 0.9796130642812565, 1.3343064785003662]
['BO', 62, 'CO', 380, 'bash', 'yes', 'O1', 'O0', 0.9972983404091085, 2.0529422760009766]
['UO', 61, 'CO', 134, 'find', 'expand', 'O3', 'O1', 0.9876651982378855, 0.48119401931762695]
['BO', 9, 'CO', 101, 'git', 'rmdir', 'O0', 'O3', 0.9990485252140818, 4.532923221588135]
['CO', 146, 'UO', 1, 'sum', 'xargs', 'O1', 'O1', 0.9514066496163683, 0.17499732971191406]
['BO', 73, 'CO', 196, 'cluster', 'sha512sum', 'O1', 'O1', 0.9595667870036101, 0.3198280334472656]
['CO', 235, 'BO', 34, 'wc', 'cp', 'O2', 'O2', 0.8575553416746872, 0.18952345848083496]
['UO', 12, 'CO', 138, 'gprof', 'tail', 'O1', 'O1', 0.9877094972067039, 1.9429094791412354]
['BO', 52, 'UO', 37, 'svn', 'ar', 'O3', 'O2', 0.9625737728515906, 9.94835615158081]
['BO', 76, 'CO', 124, 'openssl', 'mkfifo', 'O2', 'O1', 0.9973315543695798, 2.225649833679199]
['UO', 29, 'CO', 39, 'as', 'paste', 'O2', 'O3', 0.9967901564798716, 1.5157139301300049]
['BO', 56, 'CO', 315, 'libvlc.so.12.0.0', 'unlink', 'O3', 'O0', 0.9940564635958395, 0.46649742126464844]
['UO', 59, 'CO', 156, 'locate', 'sha256sum', 'O3', 'O1', 0.978021978021978, 0.23464536666870117]
['BO', 55, 'UO', 32, 'make', 'strings', 'O1', 'O2', 0.9400796812749004, 6.290557384490967]
['CO', 31, 'UO', 53, 'date', 'gprof', 'O3', 'O3', 0.9689621726479146, 1.8227546215057373]
['UO', 73, 'BO', 71, 'objcopy', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9872075602166648, 62.77422380447388]
['CO', 206, 'UO', 12, 'mknod', 'gprof', 'O1', 'O1', 0.9731465265615878, 1.0633947849273682]
['BO', 36, 'UO', 22, 'cluster', 'diff3', 'O2', 'O2', 0.962707182320442, 0.37848901748657227]
['BO', 83, 'UO', 58, 'lua', 'objdump', 'O2', 'O3', 0.9648845926218189, 15.24358057975769]
['CO', 269, 'BO', 73, 'cksum', 'cluster', 'O2', 'O1', 0.9599383667180277, 0.21462345123291016]
['UO', 86, 'CO', 269, 'xargs', 'cksum', 'O0', 'O2', 0.9771863117870723, 0.13397741317749023]
['CO', 287, 'UO', 24, 'link', 'diff', 'O2', 'O2', 0.9231508165225745, 0.14014697074890137]
['BO', 5, 'CO', 131, 'libgeany.so.0.0.0', 'wc', 'O1', 'O1', 0.9990894259589483, 6.9450249671936035]
['UO', 51, 'CO', 313, 'objcopy', 'touch', 'O3', 'O0', 0.9886850677181553, 2.0923125743865967]
['UO', 16, 'CO', 257, 'size', 'nice', 'O1', 'O2', 0.9928209459459459, 0.7622220516204834]
