['BV', 45, 'CV', 8, 'svn', 'du', 'V3', 'V2', 0.9908508691674291, 1.6380321979522705]
['UV', 14, 'CV', 191, 'objcopy', 'mkfifo', 'V2', 'V0', 0.9978696964317415, 0.696209192276001]
['UV', 13, 'CV', 269, 'strings', 'du', 'V2', 'V1', 0.9930141771111568, 1.6623494625091553]
['UV', 44, 'CV', 162, 'diff3', 'tr', 'V1', 'V3', 0.9429386590584878, 0.10335373878479004]
['BV', 79, 'CV', 301, 'bash', 'ls', 'V3', 'V1', 0.9952157688259496, 4.2866644859313965]
['BV', 19, 'UV', 7, 'cp', 'nm', 'V3', 'V2', 0.9654596100278552, 3.1857917308807373]
['BV', 22, 'CV', 60, 'cmp', 'hostid', 'V3', 'V2', 0.9487179487179487, 0.09352636337280273]
['CV', 82, 'UV', 65, 'sort', 'objdump', 'V2', 'V1', 0.967946014339941, 3.764448881149292]
['CV', 4, 'UV', 82, 'basename', 'gprof', 'V2', 'V0', 0.9807731642462671, 0.8295776844024658]
['CV', 271, 'BV', 80, 'ptx', 'cluster', 'V1', 'V1', 0.963789981894991, 0.5236966609954834]
['CV', 204, 'BV', 83, 'pinky', 'git', 'V0', 'V2', 0.9927747551686615, 4.285166501998901]
['UV', 30, 'BV', 69, 'ld', 'gvmap', 'V3', 'V0', 0.9875886524822695, 5.309170246124268]
['UV', 19, 'BV', 81, 'elfedit', 'dot', 'V2', 'V1', 0.9573170731707317, 0.0260317325592041]
['BV', 24, 'CV', 196, 'git', 'kill', 'V0', 'V0', 0.9991550995775498, 2.0216288566589355]
['UV', 22, 'CV', 186, 'nm', 'stty', 'V3', 'V0', 0.9957237545435108, 0.8675105571746826]
['BV', 8, 'CV', 61, 'cluster', 'ginstall', 'V2', 'V2', 0.9572312886888014, 0.6880776882171631]
['UV', 44, 'CV', 213, 'diff3', 'whoami', 'V1', 'V0', 0.9692898272552783, 0.04664778709411621]
['BV', 9, 'CV', 94, 'dot', 'dir', 'V2', 'V3', 0.99140708915145, 0.0959329605102539]
['UV', 22, 'BV', 79, 'nm', 'bash', 'V3', 'V3', 0.9662476560872283, 34.69173789024353]
['CV', 78, 'BV', 61, 'rm', 'cmp', 'V2', 'V0', 0.9773584905660377, 0.05034685134887695]
['BV', 39, 'CV', 29, 'svn', 'tail', 'V1', 'V2', 0.9889455782312925, 0.7947213649749756]
['CV', 255, 'UV', 75, 'sleep', 'readelf', 'V0', 'V0', 0.9763837638376384, 0.17501235008239746]
['UV', 4, 'CV', 198, 'cmp', 'factor', 'V2', 'V0', 0.9591836734693877, 0.042675018310546875]
['CV', 226, 'UV', 79, 'logname', 'strings', 'V0', 'V0', 0.9868331441543701, 0.5825178623199463]
