['CO', 38, 'BO', 29, 'sha1sum', 'libvlc.so.12.0.0', 'O3', 'O2', 0.9819186338523355, 0.5769815444946289]
['CO', 231, 'BO', 2, 'pr', 'perl', 'O2', 'O1', 0.9873820620666136, 4.738986015319824]
['UO', 14, 'BO', 22, 'ar', 'perl', 'O1', 'O0', 0.9749509101523112, 55.265220642089844]
['CO', 391, 'BO', 60, 'link', 'openssl', 'O0', 'O0', 0.9941626409017713, 3.449244499206543]
['CO', 239, 'UO', 59, 'date', 'locate', 'O2', 'O3', 0.9656582174979559, 0.3432290554046631]
['UO', 32, 'CO', 172, 'strings', 'yes', 'O2', 'O1', 0.9956188389923329, 0.8541607856750488]
['BO', 9, 'CO', 331, 'git', 'dd', 'O0', 'O0', 0.9988884138520735, 9.113205432891846]
['CO', 305, 'UO', 13, 'uniq', 'addr2line', 'O2', 'O1', 0.9738860103626943, 1.2066419124603271]
['BO', 64, 'CO', 390, 'dot', 'chcon', 'O0', 'O0', 0.9883381924198251, 0.09155821800231934]
['BO', 65, 'CO', 387, 'gvmap', 'mv', 'O0', 'O0', 0.9641791044776119, 1.9822206497192383]
['BO', 63, 'CO', 119, 'cluster', 'join', 'O0', 'O1', 0.9723456790123457, 0.545884370803833]
['BO', 43, 'UO', 69, 'diff', 'as', 'O1', 'O0', 0.9827707454289732, 8.372359037399292]
['UO', 11, 'CO', 116, 'ld', 'ptx', 'O1', 'O1', 0.9937963587322994, 2.5734283924102783]
['CO', 309, 'BO', 83, 'rmdir', 'lua', 'O2', 'O2', 0.9701682005712472, 0.5890958309173584]
['BO', 51, 'CO', 144, 'lua', 'sync', 'O1', 'O1', 0.9927667269439421, 0.6414861679077148]
['UO', 84, 'CO', 374, 'sdiff', 'printf', 'O0', 'O0', 0.9391534391534392, 0.13769006729125977]
['CO', 237, 'BO', 72, 'nproc', 'make', 'O2', 'O2', 0.9644808743169399, 0.36843109130859375]
['UO', 42, 'CO', 229, 'xargs', 'mktemp', 'O2', 'O2', 0.9655629139072848, 0.16146039962768555]
['BO', 37, 'CO', 122, 'gvmap', 'uptime', 'O2', 'O1', 0.9591002044989775, 0.375293493270874]
['BO', 38, 'CO', 127, 'acyclic', 'pr', 'O2', 'O1', 0.9846153846153847, 0.0659029483795166]
['CO', 270, 'UO', 6, 'printf', 'as', 'O2', 'O1', 0.9785196687370601, 1.646179437637329]
['CO', 356, 'UO', 80, 'seq', 'objdump', 'O0', 'O0', 0.9923841367140336, 3.4953153133392334]
['BO', 22, 'CO', 351, 'perl', 'paste', 'O0', 'O0', 0.9990183704950217, 3.0589041709899902]
['CO', 406, 'UO', 28, 'rm', 'readelf', 'O0', 'O2', 0.9535644211903205, 1.2112610340118408]
['CO', 16, 'BO', 29, 'dirname', 'libvlc.so.12.0.0', 'O3', 'O2', 0.973971889640812, 0.4636201858520508]
['CO', 310, 'UO', 29, 'mknod', 'as', 'O2', 'O2', 0.981636510937078, 1.2832069396972656]
['CO', 338, 'BO', 55, 'kill', 'make', 'O0', 'O1', 0.9605323542909592, 0.4923710823059082]
['BO', 63, 'CO', 201, 'cluster', 'uniq', 'O0', 'O1', 0.9741035856573705, 0.5117194652557373]
['CO', 234, 'BO', 71, 'kill', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.9906002990813929, 2.4831788539886475]
['CO', 340, 'BO', 1, 'factor', 'ssh', 'O0', 'O2', 0.9734200480701258, 3.0898308753967285]
['BO', 52, 'CO', 386, 'svn', 'unexpand', 'O3', 'O0', 0.9921813917122753, 0.7570538520812988]
['CO', 121, 'BO', 54, 'stdbuf', 'lua', 'O1', 'O3', 0.964824120603015, 0.7184290885925293]
['CO', 394, 'UO', 35, 'shuf', 'gprof', 'O0', 'O2', 0.9699333967649857, 2.244506597518921]
['UO', 80, 'CO', 332, 'objdump', 'mkfifo', 'O0', 'O0', 0.9972914409534128, 5.23496675491333]
['CO', 392, 'BO', 55, 'uname', 'make', 'O0', 'O1', 0.9690866510538642, 0.43887877464294434]
['CO', 3, 'UO', 12, 'unlink', 'gprof', 'O3', 'O1', 0.9801710730948678, 1.038374662399292]
['CO', 170, 'BO', 73, 'runcon', 'cluster', 'O1', 'O1', 0.9511823035850496, 0.24052667617797852]
['BO', 34, 'CO', 59, 'cp', 'tsort', 'O2', 'O3', 0.9658444022770398, 0.17644906044006348]
['CO', 29, 'UO', 72, 'nproc', 'strings', 'O3', 'O0', 0.9934723996026678, 1.830644130706787]
['UO', 4, 'BO', 48, 'strip', 'libvlccore.so.9.0.0', 'O1', 'O0', 0.9736965223267662, 70.7648561000824]
['CO', 267, 'BO', 52, 'tsort', 'svn', 'O2', 'O3', 0.9903575733226195, 0.658602237701416]
