['CO', 94, 'BO', 48, 'rm', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9932427676497502, 8.164263010025024]
['BO', 28, 'CO', 217, 'ruby', 'du', 'O0', 'O2', 0.9985965381273809, 16.698208332061768]
['UO', 20, 'BO', 4, 'diff', 'libgeany.so.0.0.0', 'O1', 'O2', 0.9855045668010206, 23.39560890197754]
['CO', 340, 'UO', 19, 'factor', 'cmp', 'O0', 'O1', 0.9471153846153846, 0.1435098648071289]
['CO', 351, 'UO', 35, 'paste', 'gprof', 'O0', 'O2', 0.9702262802699484, 1.2638728618621826]
['CO', 67, 'BO', 51, 'nohup', 'lua', 'O3', 'O1', 0.9602727542247258, 0.7088584899902344]
['BO', 70, 'CO', 204, 'diff', 'tac', 'O3', 'O1', 0.9748322147651006, 0.2148725986480713]
['BO', 56, 'CO', 266, 'libvlc.so.12.0.0', 'df', 'O3', 'O2', 0.9905619905619906, 0.9750921726226807]
['BO', 21, 'CO', 371, 'cp', 'tsort', 'O1', 'O0', 0.9813953488372094, 0.2070603370666504]
['UO', 53, 'CO', 106, 'gprof', 'stat', 'O3', 'O1', 0.98727833461835, 2.016099691390991]
['CO', 66, 'BO', 40, 'runcon', 'lua', 'O3', 'O0', 0.990159901599016, 0.847149133682251]
['BO', 64, 'CO', 319, 'dot', 'fmt', 'O0', 'O0', 0.9780821917808219, 0.04445147514343262]
['BO', 39, 'UO', 54, 'codeblocks', 'addr2line', 'O3', 'O3', 0.9894262776581163, 53.69161343574524]
['CO', 77, 'BO', 76, 'env', 'openssl', 'O3', 'O2', 0.9926974994467802, 2.9515984058380127]
