['BO', 20, 'UO', 64, 'sort', 'diff', 'O1', 'O3', 0.9148191365227538, 0.5737512111663818]
['UO', 79, 'BO', 26, 'size', 'gvmap', 'O0', 'O3', 0.9860383944153578, 5.91460657119751]
['CO', 285, 'UO', 65, 'env', 'sdiff', 'O2', 'O3', 0.8967297762478486, 0.07336139678955078]
['CO', 39, 'UO', 0, 'paste', 'locate', 'O3', 'O1', 0.951931330472103, 0.2462940216064453]
['BO', 4, 'CO', 130, 'libgeany.so.0.0.0', 'kill', 'O2', 'O1', 0.9989382678598514, 5.629640102386475]
['BO', 55, 'CO', 193, 'make', 'pathchk', 'O1', 'O1', 0.9830108541764984, 0.3924262523651123]
['BO', 26, 'CO', 184, 'gvmap', 'uname', 'O3', 'O1', 0.9725036179450073, 0.2585763931274414]
['CO', 401, 'BO', 7, 'pathchk', 'sort', 'O0', 'O0', 0.9024390243902439, 0.24515986442565918]
['UO', 21, 'CO', 92, 'sdiff', 'sha512sum', 'O1', 'O3', 0.9266862170087976, 0.10460042953491211]
['BO', 78, 'CO', 335, 'ssh', 'pr', 'O0', 'O0', 0.9938447509403853, 3.5823917388916016]
['UO', 45, 'CO', 101, 'strip', 'rmdir', 'O3', 'O3', 0.9957363652513768, 1.1742494106292725]
['UO', 20, 'CO', 147, 'diff', 'chroot', 'O1', 'O1', 0.9795744680851064, 0.22255373001098633]
['BO', 53, 'CO', 61, 'bash', 'cksum', 'O0', 'O3', 0.9977067977067977, 2.3752808570861816]
['BO', 81, 'CO', 361, 'sort', 'nice', 'O3', 'O0', 0.9800904977375565, 0.19228315353393555]
['CO', 183, 'BO', 32, 'link', 'ruby', 'O1', 'O2', 0.9930509467109115, 5.38324499130249]
['BO', 56, 'CO', 78, 'libvlc.so.12.0.0', 'chcon', 'O3', 'O3', 0.994750656167979, 0.8519682884216309]
['CO', 283, 'UO', 6, 'mv', 'as', 'O2', 'O1', 0.9652298166230054, 5.532154560089111]
['BO', 60, 'CO', 63, 'openssl', 'logname', 'O0', 'O3', 0.9987927565392354, 2.252403497695923]
['BO', 83, 'UO', 26, 'lua', 'nm', 'O2', 'O2', 0.9657404909630429, 9.69650673866272]
['CO', 276, 'UO', 1, 'yes', 'xargs', 'O2', 'O1', 0.9531478770131772, 0.11106371879577637]
['BO', 19, 'UO', 45, 'libvlccore.so.9.0.0', 'strip', 'O1', 'O3', 0.9824402840542286, 42.34590482711792]
['UO', 58, 'BO', 19, 'objdump', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9806094182825484, 59.123358726501465]
['BO', 73, 'CO', 141, 'cluster', 'truncate', 'O1', 'O1', 0.9657228017883756, 0.2861497402191162]
['BO', 46, 'CO', 65, 'ruby', 'false', 'O3', 'O3', 0.9995221679920816, 4.435906887054443]
['BO', 61, 'CO', 81, 'git', 'cat', 'O1', 'O3', 0.9990482370754921, 4.433016777038574]
['CO', 377, 'BO', 61, 'false', 'git', 'O0', 'O1', 0.9939273011191117, 3.954817056655884]
